Id,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
1,life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",849,50% off,Westernwear-Women
2,only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40","Rs
3499",2449,30% off,Westernwear-Women
3,fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large","Rs
1199",599,50% off,Westernwear-Women
4,zink london,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large","Rs
2299",1379,40% off,Westernwear-Women
5,life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36","Rs
1699",849,50% off,Westernwear-Women
6,kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34","Rs
1795",1615,10% off,Westernwear-Women
7,life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
8,fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,"Rs
1299",649,50% off,Westernwear-Women
9,rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large","Rs
2099",839,60% off,Westernwear-Women
10,rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large","Rs
1499",599,60% off,Westernwear-Women
11,life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
12,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
13,life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
14,life,printed jersey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
599",299,50% off,Westernwear-Women
15,life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
